No.,캠퍼스,과목명,개설학과,대표강사,강의실 / 강의시간
1,서울,CAU세미나,경영경제대학산업보안학과,이재우,310관 603호 <강의실> 화10
2,서울,IT인프라보안,보안대학원산업융합보안학과,이재우,310관 801호 <강의실> 토(13:00~14:20)
3,서울,사물인터넷과 융합보안,대학원융합보안학과,이재우,"310관 503호 <강의실> 월11,12,13"
4,서울,사이버 물리시스템 보안,경영경제대학산업보안학과,이재우,310관 602호 <강의실> 화(10:30~11:45) / 목(10:30~11:45)
5,서울,전공연구I,대학원융합보안학과,이재우,
