No.,캠퍼스,과목명,개설학과,대표강사,강의실 / 강의시간
1,서울,사이버 물리시스템 보안,경영경제대학산업보안학과,이재우,310관 602호 <강의실> 화(10:30~11:45) / 목(10:30~11:45)
2,서울,사이버 침해사고 대응,경영경제대학산업보안학과,조정원,"310관 607호 <컴퓨터실습실-1> 월11,12,13"
3,서울,사이버보안과 프라이버시,대학(전체)사이버보안융합전공,김정덕,재택
4,서울,사이버보안기술,대학원융합보안학과,신동천,"310관 512호  화11,12,13"
5,서울,사이버테러와 사기,대학원융합보안학과,이영일,"302관(대학원) 401호 <첨단강의실> 목7,8,9"
